id,name,address,city,state,zip,category,subcategory,annual_revenue,employee_count,founded_year,lat,lon,is_active,last_inspection_date
187,Group Group,6538 Ridge Way,Bellevue,WA,98007,Food & Beverage,Restaurant,18300649,1914,1959,47.602198,-122.144294,false,2021-07-11
188,Metro Partners Enterprises,8880 Spring Rd,Bellingham,WA,98226,Food & Beverage,Restaurant,20740180,3796,1983,48.708649,-122.520275,true,2021-01-05
189,Northwest Associates,1594 Pacific Way,Tacoma,WA,98407,Professional Services,Accounting,34507695,402,1988,47.289166,-122.416375,true,2021-12-13
190,Puget Corp,2089 Main Ave,Seattle,WA,98108,Manufacturing,Food Processing,8822151,1624,2001,47.616714,-122.323985,true,2020-12-10
191,The Cascade Works,2210 Elm Way,Olympia,WA,98501,Food & Beverage,Brewery,2915301,3777,1956,47.090091,-122.951002,true,2024-11-09
192,Coastal Associates,3166 Commerce Dr,Yakima,WA,98908,Professional Services,Marketing,10024485,284,1981,46.599535,-120.524072,true,2025-08-05
193,Olympic & Design Co,4182 Oak Ln,Kent,WA,98032,Food & Beverage,Bakery,32241077,4461,2012,47.327317,-122.256427,true,2025-08-19
194,Pioneer Tech Group,7828 Spring Pkwy,Renton,WA,98056,Manufacturing,Food Processing,10762239,821,1981,47.451578,-122.211735,true,2022-12-27
195,Harbor Associates,2985 Pacific Pkwy,Federal Way,WA,98023,Professional Services,Consulting,49583394,2940,1953,47.351686,-122.256264,true,2023-12-11
196,Urban Group,8135 Maple St,Olympia,WA,98501,Food & Beverage,Catering,15661089,4929,1978,47.047573,-122.937412,true,2025-05-11
197,Summit Partners Inc,2520 Hill St,Seattle,WA,98122,Retail,Electronics,24537343,595,1997,47.646773,-122.349109,true,2024-06-08
198,The Summit Design,5298 Forest Ct,Olympia,WA,98503,Technology,Cloud Services,15031195,4825,1972,47.016212,-122.943626,true,2023-04-21
199,Horizon Inc,9969 Ridge Pkwy,Tacoma,WA,98404,Healthcare,Medical Devices,42975968,4633,1963,47.303855,-122.386156,false,2021-07-30
200,Data Industries,7417 Main Dr,Renton,WA,98056,Professional Services,Consulting,16796403,556,1994,47.45856,-122.132114,true,2021-03-18
201,The Summit Design,5854 Willow St,Vancouver,WA,98663,Technology,Software,38842647,1848,1970,46.0,-122.64209,true,2020-05-16
202,Soundside Enterprises,1328 Elm Way,Kirkland,WA,98034,Technology,Cloud Services,47328506,254,2005,47.651335,-122.257433,false,2021-11-06
203,Evergreen & Design Industries,8949 Market Dr,Olympia,WA,98503,Manufacturing,Aerospace,15991595,786,1956,46.986427,-122.920269,true,2025-07-03
204,Cedar Connect Co,521 Sunrise Blvd,Tacoma,WA,98405,Technology,Cloud Services,5548638,3880,1964,47.190458,-122.489485,true,2024-06-16
205,The Horizon Services,6152 Forest Pl,Everett,WA,98201,Manufacturing,Metal Fabrication,17719493,3603,2009,47.951801,-122.182976,true,2023-01-05
206,The Cascade Innovations,9762 Sunset Ct,Olympia,WA,98501,Technology,Hardware,26028250,4281,2003,47.070268,-122.879904,false,2025-04-28
207,Northwest & Logic Studio,9463 Hill St,Olympia,WA,98506,Healthcare,Telehealth,11651711,1370,1977,47.015862,-122.912623,true,2021-05-31
208,Edge Group,1197 Elm Ln,Seattle,WA,98125,Manufacturing,Aerospace,26716042,4523,1991,47.668594,-122.337753,true,2025-10-29
209,Harbor Bridge Studio,1830 Washington Dr,Everett,WA,98204,Technology,Cybersecurity,27624363,2164,1999,47.933502,-122.242043,true,2025-04-21
210,Health Enterprises,3992 Pine Pl,Seattle,WA,98109,Healthcare,Clinic Services,25044072,166,1993,47.598357,-122.315811,true,2023-05-26
211,The Pioneer Solutions,5357 Commerce Ln,Kirkland,WA,98033,Retail,Sporting Goods,12662150,3619,1977,47.722988,-122.187818,false,2024-07-25
212,Services Corp,8403 Cherry Blvd,Vancouver,WA,98664,Manufacturing,Metal Fabrication,38212952,238,1972,46.0,-122.631478,true,2022-04-02
213,Works Group,7705 Monroe Ln,Yakima,WA,98901,Technology,Hardware,45762837,251,1980,46.543969,-120.563933,true,2025-01-01
214,Columbia Data Group,6433 Pine Blvd,Tacoma,WA,98418,Manufacturing,Metal Fabrication,14432676,1814,1978,47.25616,-122.45869,true,2023-01-07
215,Pacific LLC,9949 Main Rd,Spokane,WA,99205,Manufacturing,Metal Fabrication,40875266,2503,1985,47.602406,-117.396364,true,2024-03-22
216,Peak & Edge Enterprises,1776 Main Ct,Yakima,WA,98903,Retail,Sporting Goods,37728749,4865,1986,46.57024,-120.513996,true,2021-03-18
217,Labs Consulting,3186 Hill Ct,Everett,WA,98203,Technology,Cloud Services,3860083,4916,2001,48.038603,-122.183129,true,2021-07-27
218,Coastal Analytics Enterprises,9652 Valley Way,Vancouver,WA,98665,Technology,Cybersecurity,47923402,1822,2018,46.0,-122.698869,true,2025-05-02
219,Bay Services Group,7813 Lake Dr,Kennewick,WA,99338,Professional Services,Accounting,37565979,1500,1992,46.210878,-119.09855,true,2022-06-29
220,Labs Studio,7698 Park Pl,Renton,WA,98055,Healthcare,Clinic Services,42623644,4781,2024,47.480457,-122.143579,false,2020-10-18
221,Rainier Inc,2350 Valley Way,Everett,WA,98208,Healthcare,Medical Devices,38262027,3749,1968,48.0241,-122.2142,true,2022-01-08
222,The Soundside Health,4581 Sunrise Blvd,Bellingham,WA,98229,Technology,Cybersecurity,10682400,4011,1961,48.729916,-122.421603,true,2024-11-11
223,Pacific Agency,6212 Main Way,Spokane,WA,99204,Manufacturing,Food Processing,1252330,34,1981,47.651483,-117.432712,true,2023-11-11
224,Data Inc,4864 Madison Ct,Kirkland,WA,98034,Healthcare,Medical Devices,29152780,1097,1993,47.666026,-122.19936,false,2025-06-30
225,Horizon Co,2249 Sunrise Ave,Renton,WA,98059,Healthcare,Pharmaceuticals,33915384,1385,1965,47.54377,-122.139815,true,2020-06-02
226,Cedar Health Consulting,423 Pine St,Kent,WA,98035,Professional Services,Accounting,29867427,3116,1965,47.41255,-122.215224,true,2025-04-27
227,Rainier Design Consulting,8624 Commerce Pkwy,Vancouver,WA,98664,Healthcare,Pharmaceuticals,47074949,1124,2003,46.0,-122.654363,true,2021-03-05
228,Urban Studio,4408 Valley Way,Federal Way,WA,98023,Professional Services,Consulting,19870683,1314,1955,47.293925,-122.275829,true,2022-04-30
229,The Cascade Systems,2543 Elm Ct,Vancouver,WA,98660,Manufacturing,Food Processing,48607532,830,1982,46.0,-122.72847,true,2025-02-13
230,Group Associates,7079 Park St,Kirkland,WA,98033,Retail,Sporting Goods,699098,1134,1971,47.62601,-122.172419,true,2024-11-27
231,The Puget Analytics,4553 Willow Pl,Olympia,WA,98506,Retail,Apparel,43593350,1367,1964,47.024715,-122.918873,true,2020-08-28
232,Harbor & Ventures LLC,6321 Spring Pkwy,Yakima,WA,98901,Healthcare,Medical Devices,45983610,1071,2011,46.589923,-120.49911,false,2021-04-07
233,Soundside & Tech Industries,9547 Sunset Way,Kennewick,WA,99338,Manufacturing,Food Processing,35154859,781,2005,46.155517,-119.168606,true,2022-10-15
234,Cedar Inc,8383 Jefferson Pl,Everett,WA,98203,Retail,Sporting Goods,5074121,4028,1991,47.937839,-122.160827,true,2023-02-13
235,The Pioneer Data,9488 Lincoln St,Seattle,WA,98121,Food & Beverage,Catering,30052233,2590,1965,47.616059,-122.344563,false,2020-03-13
236,Edge Studio,8428 Sunrise Pl,Bellevue,WA,98006,Manufacturing,Food Processing,24433500,445,1978,47.5543,-122.194108,true,2023-09-21
237,Metro Corp,135 Meadow Way,Federal Way,WA,98023,Food & Beverage,Bakery,36804892,4277,1997,47.345999,-122.326405,true,2020-07-06
238,Coastal & Systems Group,3309 Valley St,Kennewick,WA,99337,Healthcare,Telehealth,14517966,3745,1974,46.166854,-119.113977,true,2021-03-17
239,The Harbor Systems,9755 Monroe Blvd,Bellingham,WA,98226,Manufacturing,Aerospace,341093,4345,1956,48.801195,-122.439504,true,2024-11-07
240,Summit LLC,1796 Willow Pkwy,Yakima,WA,98903,Food & Beverage,Bakery,33880257,3152,2003,46.650925,-120.47627,false,2022-10-13
241,Olympic & Solutions Enterprises,8493 Harbor Ct,Kirkland,WA,98034,Manufacturing,Food Processing,47823079,4535,1977,47.736459,-122.215659,true,2023-04-05
242,Logic Agency,1990 Spring Ct,Spokane,WA,99208,Retail,Electronics,39161466,4675,2003,47.71776,-117.41199,true,2025-12-26
243,Olympic Health Consulting,3375 Commerce Blvd,Kirkland,WA,98034,Manufacturing,Aerospace,45911548,2053,1968,47.682728,-122.266967,true,2023-04-23
244,Cedar & Craft Co,6471 Pacific Ct,Redmond,WA,98053,Food & Beverage,Restaurant,46552152,385,1998,47.653042,-122.125689,true,2023-07-04
245,Dynamics Consulting,9740 Valley Rd,Federal Way,WA,98023,Technology,Software,30169459,1454,1959,47.34924,-122.34563,true,2021-12-12
246,Bay LLC,9668 Market Ave,Vancouver,WA,98662,Food & Beverage,Restaurant,31344966,1269,1955,46.0,-122.678579,true,2023-08-14
247,Data Industries,8708 Sunset Blvd,Olympia,WA,98501,Technology,Cloud Services,33949395,1306,2003,47.038866,-122.891279,true,2024-07-10
248,Soundside Group,8791 Jefferson Ct,Bellevue,WA,98004,Retail,Electronics,7748859,2835,2007,47.656008,-122.1804,true,2022-09-25
249,Puget & Analytics Group,4733 Oak Ct,Seattle,WA,98116,Professional Services,Accounting,34564696,4168,2007,47.595765,-122.294455,true,2023-04-29
250,Puget & Services Agency,220 Cedar Rd,Kennewick,WA,99338,Professional Services,Legal,42296001,1747,2004,46.188438,-119.190119,true,2022-04-22
251,Tech Holdings,720 Elm St,Federal Way,WA,98003,Professional Services,Marketing,11994851,2064,2021,47.337587,-122.25723,true,2022-07-21
252,The Coastal Partners,2038 Main Pkwy,Kennewick,WA,99336,Retail,Sporting Goods,39349488,373,1959,46.196564,-119.124374,true,2025-08-21
253,Metro Analytics Enterprises,7865 River Ct,Bellevue,WA,98005,Retail,Home Goods,9202404,3204,2019,47.622788,-122.226218,true,2021-08-13
254,Bay Solutions Corp,182 Cherry Ct,Kirkland,WA,98033,Professional Services,Accounting,20497477,1721,1994,47.734887,-122.268662,true,2025-09-30
255,Evergreen & Systems LLC,991 Madison Ct,Tacoma,WA,98402,Healthcare,Pharmaceuticals,19555370,552,1982,47.216495,-122.39983,true,2025-06-18
256,Rainier Corp,5306 Adams Pl,Renton,WA,98057,Retail,Electronics,41412040,2505,2024,47.510555,-122.221856,true,2024-02-01
257,Design Group,2300 Meadow Pl,Bellingham,WA,98226,Retail,Sporting Goods,29937467,2939,1989,48.710237,-122.502414,true,2021-03-21
258,Craft Co,1352 Cedar Ave,Tacoma,WA,98409,Professional Services,Consulting,42437736,256,2024,47.291015,-122.396954,true,2022-05-21
259,The Urban Solutions,3758 Industrial Blvd,Kennewick,WA,99337,Technology,Cloud Services,33679806,4182,1961,46.215216,-119.080153,true,2025-08-18
260,Cedar Agency,7410 River Blvd,Seattle,WA,98126,Professional Services,Legal,38021036,1198,2011,47.651758,-122.293215,false,2020-06-14
261,Works Agency,6458 Jefferson Pl,Redmond,WA,98052,Manufacturing,Aerospace,2727958,2655,1963,47.617543,-122.135668,true,2025-11-05
262,Horizon & Analytics Associates,1375 Market Ln,Spokane,WA,99204,Retail,Home Goods,34703123,3325,1995,47.669436,-117.421581,true,2023-11-14
263,Metro Services Co,8530 Commerce Rd,Everett,WA,98203,Manufacturing,Metal Fabrication,12593027,1290,1996,47.920792,-122.154156,true,2021-04-29
264,Urban Holdings,9779 River Ln,Spokane,WA,99201,Healthcare,Telehealth,16402437,354,1966,47.697341,-117.403569,true,2021-10-21
265,Summit & Labs LLC,6742 Oak Dr,Tacoma,WA,98402,Professional Services,Consulting,14585338,3680,2010,47.296896,-122.482376,true,2021-11-29
266,Summit & Edge Consulting,4433 River Way,Redmond,WA,98053,Manufacturing,Metal Fabrication,40082676,4839,1958,47.627125,-122.110082,true,2024-04-27
267,Peak & Design LLC,1677 Forest Pl,Tacoma,WA,98418,Technology,Software,40302822,320,2018,47.214282,-122.396849,true,2021-04-26
268,The Pacific Design,6168 Maple Ct,Bellevue,WA,98007,Manufacturing,Metal Fabrication,15450561,3950,1998,47.565639,-122.187583,true,2021-02-04
269,Cascade & Group Studio,6795 Market Rd,Kent,WA,98030,Healthcare,Clinic Services,47640172,59,2023,47.377257,-122.262098,true,2025-10-29
270,Coastal Corp,7080 Market Dr,Seattle,WA,98125,Manufacturing,Metal Fabrication,28474734,4626,1996,47.57465,-122.293486,true,2024-06-15
271,Summit & Innovations Agency,8025 Market Dr,Bellingham,WA,98229,Healthcare,Telehealth,23159360,3262,1967,48.756253,-122.473092,true,2021-05-02
272,The Puget Works,5644 Pine Blvd,Vancouver,WA,98663,Healthcare,Telehealth,42722957,44,1961,46.0,-122.616091,true,2025-04-15
273,Alpine Data Studio,6396 Cherry Pkwy,Kennewick,WA,99338,Food & Beverage,Bakery,35014090,2347,1957,46.160577,-119.168429,false,2021-12-18
274,Peak Group Co,9922 Monroe Ct,Spokane,WA,99204,Manufacturing,Food Processing,41334701,1389,1954,47.601285,-117.387932,true,2020-01-02
275,Horizon Studio,8582 Main St,Tacoma,WA,98402,Technology,Cloud Services,36932538,2331,2021,47.283561,-122.457625,false,2023-11-26
276,Bridge Inc,2967 Division Ct,Renton,WA,98055,Retail,Electronics,37539072,593,2014,47.502764,-122.226657,true,2021-04-24
277,The Harbor Labs,6278 Jefferson Rd,Bellingham,WA,98226,Food & Beverage,Brewery,30842796,3775,1953,48.795134,-122.442422,true,2022-11-22
278,Partners Enterprises,8562 Main Dr,Bellevue,WA,98005,Manufacturing,Metal Fabrication,19329677,762,2001,47.644639,-122.233554,true,2023-11-01
279,Harbor LLC,8275 Valley Rd,Bellevue,WA,98005,Food & Beverage,Catering,17861053,1694,1979,47.607187,-122.217575,true,2022-10-19
280,Cascade Connect Studio,8971 Maple Pl,Yakima,WA,98903,Food & Beverage,Brewery,41702289,2584,2013,46.558719,-120.557197,true,2023-01-30
281,The Olympic Health,7936 Maple Ct,Everett,WA,98204,Healthcare,Clinic Services,26471895,1432,2008,47.967746,-122.16998,false,2025-10-23
282,Systems Associates,4354 Forest Ct,Everett,WA,98204,Retail,Apparel,15964139,2207,2010,47.921418,-122.23471,false,2023-11-06
283,Innovations Enterprises,7484 Forest Pkwy,Renton,WA,98056,Healthcare,Telehealth,38697506,1873,1962,47.480873,-122.199709,true,2022-08-23
284,Olympic Inc,7006 Adams Blvd,Federal Way,WA,98023,Manufacturing,Food Processing,32706528,2458,1982,47.283528,-122.273996,true,2020-07-14
285,Systems Holdings,4356 Canyon Way,Kent,WA,98042,Technology,Hardware,37462620,2112,1994,47.327204,-122.192342,true,2021-05-11
286,Services Group,5426 Monroe Pl,Renton,WA,98058,Professional Services,Legal,5311839,3122,1986,47.499222,-122.172016,true,2021-08-16
287,Horizon Corp,5729 Sunset Way,Yakima,WA,98903,Healthcare,Clinic Services,43872967,2387,1984,46.590618,-120.496523,true,2024-06-07
288,Metro LLC,478 Lake Rd,Kirkland,WA,98034,Manufacturing,Food Processing,49970629,656,1976,47.709747,-122.207488,true,2021-02-25
289,Horizon Logic Corp,4400 Hill St,Bellevue,WA,98007,Technology,Cybersecurity,20811513,1879,1981,47.615812,-122.256836,true,2024-12-20
290,The Northwest Innovations,7754 Commerce Ct,Spokane,WA,99208,Healthcare,Pharmaceuticals,9117407,4418,1972,47.663209,-117.469527,true,2025-02-13
291,Rainier & Innovations Holdings,3821 Elm Pl,Spokane,WA,99205,Professional Services,Marketing,24597303,3377,1983,47.662815,-117.413257,true,2020-02-13
292,Connect Holdings,249 Broadway Dr,Seattle,WA,98133,Food & Beverage,Catering,15566602,60,2020,47.591266,-122.333696,true,2024-08-13
293,Analytics Co,1397 Broadway Rd,Kennewick,WA,99338,Food & Beverage,Bakery,41202243,2228,1986,46.19737,-119.180408,true,2025-12-18
294,The Olympic Group,7518 Commerce Pkwy,Bellingham,WA,98226,Retail,Sporting Goods,12652336,2627,1952,48.71256,-122.531784,true,2025-12-31
295,Metro Tech Co,2568 Main Pl,Seattle,WA,98107,Healthcare,Medical Devices,22995383,3443,1989,47.583854,-122.374995,true,2025-08-03
296,The Olympic Health,1269 Jefferson Blvd,Renton,WA,98056,Manufacturing,Metal Fabrication,16832548,3126,1951,47.524971,-122.21037,true,2022-10-16
297,Metro Agency,7846 Willow Dr,Kent,WA,98032,Manufacturing,Aerospace,10694233,346,2020,47.408514,-122.285979,true,2022-11-03
298,The Evergreen Systems,5416 Main Blvd,Everett,WA,98204,Professional Services,Accounting,39288342,981,2000,47.943847,-122.153498,true,2020-02-06
299,The Cascade Dynamics,1597 Meadow Ave,Seattle,WA,98102,Food & Beverage,Bakery,23908387,1261,2018,47.632609,-122.371401,true,2021-05-30
300,Alpine Industries,449 Willow Way,Everett,WA,98203,Healthcare,Clinic Services,16873939,324,2012,48.037801,-122.165373,true,2023-04-22
301,The Alpine Partners,4610 River St,Federal Way,WA,98003,Professional Services,Marketing,30207663,2423,1983,47.282773,-122.347605,true,2025-02-02
302,Cedar Studio,5354 Cedar Ct,Seattle,WA,98117,Professional Services,Marketing,12791923,4294,2013,47.638039,-122.284048,true,2021-09-23
303,Puget Logic Consulting,817 Lake Blvd,Olympia,WA,98501,Retail,Home Goods,13611294,877,2012,47.029177,-122.921357,true,2020-05-10
304,Labs Inc,3716 Cedar Ave,Olympia,WA,98502,Professional Services,Marketing,44056594,4026,1960,47.058951,-122.896901,true,2020-09-05
305,Northwest & Edge Group,766 Cedar Dr,Renton,WA,98055,Food & Beverage,Bakery,14538807,4256,1962,47.528643,-122.15469,true,2022-08-04
306,Harbor & Services Agency,6902 Washington Pkwy,Federal Way,WA,98023,Manufacturing,Aerospace,45314429,3758,2004,47.283174,-122.291175,true,2021-11-14
307,Edge Holdings,5263 Ridge Way,Bellingham,WA,98226,Healthcare,Telehealth,42546072,3528,1991,48.750563,-122.461096,true,2022-05-26
308,Horizon Tech Industries,4760 Oak Ct,Kent,WA,98031,Food & Beverage,Brewery,20306250,54,1988,47.363201,-122.235712,false,2022-05-29
309,Columbia & Craft Agency,9449 Hill St,Yakima,WA,98901,Retail,Apparel,30944894,2914,1969,46.632583,-120.456798,true,2024-02-12
310,Cascade & Bridge Enterprises,3662 Cedar Way,Kennewick,WA,99337,Food & Beverage,Catering,11653289,4000,2023,46.177959,-119.102671,true,2021-01-25
311,Data Inc,5800 Broadway Ln,Olympia,WA,98501,Professional Services,Accounting,15264765,4935,1951,46.984485,-122.862999,true,2024-04-15
312,Soundside Industries,2609 Pine Ln,Seattle,WA,98119,Retail,Apparel,39988645,4713,2014,47.588318,-122.32221,true,2024-11-04
313,The Harbor Health,4401 Elm Ln,Kirkland,WA,98034,Manufacturing,Aerospace,46883297,1069,1967,47.635863,-122.260095,true,2022-03-22
314,Peak Dynamics Co,4462 Broadway Way,Everett,WA,98201,Manufacturing,Metal Fabrication,7601751,3389,2004,47.98856,-122.19266,true,2022-02-19
315,Alpine & Edge Holdings,2489 Lincoln Ave,Renton,WA,98056,Retail,Apparel,13450647,3063,1969,47.522362,-122.229689,true,2020-12-17
316,Group Inc,1923 Harbor Pl,Bellevue,WA,98007,Professional Services,Consulting,1576600,2719,1976,47.579166,-122.18548,true,2022-05-17
317,Olympic & Tech Enterprises,8731 Maple Dr,Redmond,WA,98052,Food & Beverage,Brewery,4083917,2327,1975,47.675856,-122.105235,true,2023-01-16
318,Columbia Innovations Corp,4892 Willow Rd,Seattle,WA,98117,Manufacturing,Metal Fabrication,34177563,816,1990,47.663421,-122.382008,true,2025-12-17
319,Pacific & Health Co,5095 Meadow Pl,Bellevue,WA,98007,Healthcare,Pharmaceuticals,10586444,151,1994,47.610078,-122.205042,true,2023-12-26
320,Health Consulting,6443 Oak Ct,Spokane,WA,99205,Retail,Electronics,15188598,1243,1993,47.719519,-117.372569,true,2021-07-16
321,Pioneer & Design Co,2602 Broadway Dr,Bellevue,WA,98008,Professional Services,Marketing,22147924,3680,2019,47.612486,-122.178641,true,2021-07-21
322,Peak Enterprises,9354 River Way,Olympia,WA,98501,Food & Beverage,Catering,37452474,4367,1965,47.083511,-122.92292,true,2021-08-19
323,Group Holdings,2589 Valley St,Vancouver,WA,98661,Technology,Cloud Services,12448127,215,1984,46.0,-122.680315,true,2022-08-03
324,Urban & Solutions Agency,7780 Canyon Blvd,Olympia,WA,98506,Healthcare,Pharmaceuticals,33030355,3882,1967,47.062485,-122.916889,true,2022-07-15
325,Pioneer Works Co,3001 Lincoln Pkwy,Seattle,WA,98121,Manufacturing,Aerospace,46211684,2662,2008,47.661052,-122.275976,true,2024-10-17
326,Harbor & Edge Agency,730 Washington Pl,Kent,WA,98035,Technology,Cybersecurity,2896483,2013,2016,47.406424,-122.242702,true,2020-06-09
327,The Evergreen Group,5089 Industrial Pl,Federal Way,WA,98003,Manufacturing,Metal Fabrication,28400957,2412,1956,47.351819,-122.254489,true,2021-08-05
328,Summit & Bridge Industries,2316 Cherry Ln,Everett,WA,98204,Professional Services,Marketing,30308437,205,1972,47.930853,-122.199921,true,2022-04-07
329,Summit Systems Corp,7462 Canyon St,Kennewick,WA,99338,Manufacturing,Aerospace,47514698,3147,2015,46.18001,-119.116994,true,2021-10-16
330,Soundside Consulting,2756 Hill Blvd,Kent,WA,98030,Food & Beverage,Bakery,28207650,2524,1989,47.325269,-122.269494,true,2025-01-01
331,Tech Studio,300 Madison Pl,Kirkland,WA,98034,Professional Services,Legal,36523745,48,2013,47.634106,-122.254211,true,2025-05-02
332,Pioneer & Craft Group,9234 Sunrise Ave,Everett,WA,98203,Manufacturing,Food Processing,9999303,452,1994,47.929529,-122.187988,true,2020-05-12
333,Puget LLC,4759 Forest Pl,Spokane,WA,99206,Food & Beverage,Brewery,2455184,763,1988,47.639733,-117.479476,true,2024-04-01
334,Solutions Corp,5493 Division Ct,Yakima,WA,98902,Technology,Cybersecurity,46746327,1713,1957,46.641197,-120.562209,true,2025-12-06
335,Design Studio,4354 Spring Blvd,Bellevue,WA,98008,Manufacturing,Metal Fabrication,37807751,4067,2016,47.632639,-122.147933,true,2025-07-31
336,The Pacific Systems,2032 Sunrise Pkwy,Everett,WA,98208,Healthcare,Pharmaceuticals,27835830,373,1992,48.00503,-122.142489,true,2022-05-19
337,Cascade & Group Group,9111 Ridge Ave,Seattle,WA,98104,Professional Services,Legal,46075660,2731,1993,47.632802,-122.35947,true,2020-04-29
338,Urban Inc,7988 Hill Pl,Yakima,WA,98903,Healthcare,Pharmaceuticals,31085841,3392,1957,46.579662,-120.529448,true,2023-05-11
339,Harbor Partners Associates,2546 Commerce Ave,Olympia,WA,98503,Professional Services,Accounting,25231982,4377,1971,47.046621,-122.957754,true,2024-05-14
340,The Soundside Health,1522 Adams Rd,Tacoma,WA,98406,Food & Beverage,Restaurant,30376920,2480,1977,47.293751,-122.409815,true,2021-12-17
341,The Metro Logic,8292 Hill Rd,Bellevue,WA,98006,Retail,Apparel,32495252,4290,1989,47.643335,-122.150398,true,2021-08-09
342,Horizon Logic Corp,5195 Maple Pkwy,Bellingham,WA,98225,Technology,Hardware,22416696,3825,1955,48.714622,-122.535614,true,2023-07-03
343,Works Group,8820 Ridge Pl,Seattle,WA,98136,Food & Beverage,Brewery,7945414,2234,1969,47.626662,-122.364819,true,2021-04-13
344,Labs LLC,9505 Pacific Blvd,Seattle,WA,98103,Food & Beverage,Restaurant,20946194,2775,2019,47.574789,-122.347962,true,2021-06-16
345,Cascade Enterprises,9866 Lincoln Pkwy,Seattle,WA,98116,Manufacturing,Metal Fabrication,21017537,2723,1975,47.556055,-122.343968,true,2025-12-25
346,Systems Holdings,7725 Jefferson Rd,Bellevue,WA,98005,Manufacturing,Metal Fabrication,9694998,2114,1996,47.565815,-122.162458,true,2023-09-15
347,The Puget Innovations,2898 Industrial Way,Bellingham,WA,98229,Retail,Sporting Goods,38616005,1044,2015,48.748501,-122.532156,true,2021-03-14
348,Horizon Enterprises,4092 River Pl,Renton,WA,98058,Food & Beverage,Restaurant,4483207,2792,1976,47.525092,-122.186071,true,2024-10-31
349,Pioneer Services Consulting,9507 Adams St,Bellingham,WA,98229,Manufacturing,Metal Fabrication,40051949,3793,1991,48.784479,-122.474657,true,2024-12-28
350,The Cedar Analytics,1107 Elm Rd,Tacoma,WA,98403,Retail,Sporting Goods,39024673,2,1968,47.198353,-122.486951,true,2025-01-29
351,Evergreen & Partners Group,5089 Broadway Way,Federal Way,WA,98003,Retail,Sporting Goods,39156145,67,2015,47.333869,-122.316341,true,2021-06-06
352,Northwest & Tech Industries,5985 Park Dr,Yakima,WA,98901,Retail,Apparel,15836767,3537,2000,46.584307,-120.504134,true,2024-04-16
353,Urban & Solutions Co,6401 Canyon Ln,Kent,WA,98031,Manufacturing,Food Processing,19408952,1029,1967,47.385414,-122.210501,true,2020-03-05
354,The Olympic Data,7571 Broadway Pkwy,Tacoma,WA,98403,Professional Services,Marketing,30543889,4174,2004,47.268951,-122.383003,true,2025-01-17
355,Harbor Industries,8320 Commerce Ln,Kent,WA,98042,Retail,Electronics,38728351,3007,1954,47.342295,-122.217451,false,2025-06-02
356,Cascade & Solutions Industries,4678 Madison Ct,Vancouver,WA,98660,Retail,Apparel,35171879,4998,1961,46.0,-122.614591,true,2020-11-15
357,The Bay Tech,8499 Jefferson Pkwy,Spokane,WA,99206,Professional Services,Accounting,28303912,2892,1987,47.673565,-117.38157,true,2020-05-24
358,Northwest Studio,9485 Pine Dr,Vancouver,WA,98665,Food & Beverage,Brewery,41947205,224,1986,46.0,-122.662355,true,2021-06-03
359,Columbia Labs Inc,9993 Forest Pkwy,Federal Way,WA,98003,Technology,Cloud Services,44285186,3659,1997,47.290246,-122.296104,true,2022-12-06
360,Northwest Corp,9857 Hill Pl,Bellingham,WA,98226,Professional Services,Legal,25763901,1950,2006,48.74819,-122.444075,true,2021-11-16
361,The Puget Health,6633 Jefferson Dr,Redmond,WA,98053,Food & Beverage,Brewery,35786868,1915,1998,47.616519,-122.148273,true,2024-05-16
362,Ventures Enterprises,8787 Maple St,Everett,WA,98204,Retail,Electronics,29026659,2234,1992,47.983653,-122.207832,true,2021-02-06
363,Pioneer & Bridge Co,5628 Forest Way,Kirkland,WA,98033,Professional Services,Marketing,45200968,70,1958,47.675333,-122.188965,true,2021-02-04
364,Columbia Works Inc,1606 Pine Pkwy,Federal Way,WA,98003,Technology,Cybersecurity,40274044,998,1965,47.302182,-122.28297,true,2021-06-16
365,Columbia Group Holdings,7529 Commerce Ln,Kent,WA,98032,Professional Services,Legal,17319566,1327,1959,47.42752,-122.206522,true,2020-09-12
366,Columbia Services Holdings,8156 Valley Pkwy,Kent,WA,98035,Manufacturing,Food Processing,12025051,4031,1963,47.439515,-122.259011,true,2024-11-01
367,Puget Health Corp,9460 Market Pl,Redmond,WA,98052,Food & Beverage,Restaurant,33450174,1220,1950,47.719513,-122.094152,false,2024-05-18
368,The Peak Connect,6717 Cedar Ct,Kirkland,WA,98033,Healthcare,Clinic Services,271953,3150,2011,47.728554,-122.201043,true,2024-01-10
369,Innovations Agency,1418 Madison Dr,Renton,WA,98056,Professional Services,Accounting,11902653,4543,1955,47.478074,-122.174127,false,2022-02-21
370,The Alpine Connect,3204 Lake Ave,Kirkland,WA,98033,Professional Services,Marketing,1752189,4858,1980,47.727575,-122.194326,true,2020-09-15
371,Tech Inc,1018 Meadow Ave,Bellingham,WA,98226,Food & Beverage,Brewery,7981402,1735,2016,48.749962,-122.424206,true,2021-09-02
372,Olympic Connect Consulting,7820 Maple Rd,Vancouver,WA,98665,Food & Beverage,Catering,43589319,1070,1951,46.0,-122.725575,true,2020-07-23
373,Harbor Data Corp,8245 Sunset St,Kennewick,WA,99336,Retail,Apparel,28652567,2764,2001,46.204742,-119.179517,true,2021-07-16
